length,uppercase_count,lowercase_count,digit_count,special_char_count,shannon_entropy,has_common_pattern,has_dictionary_word,consecutive_chars,char_diversity_ratio,keyboard_pattern,password,label,label_name
9,0,6,3,0,3.1699,0,0,1,1.0,0,7nxp0jf6d,1,Medium
10,0,7,3,0,2.9219,0,0,2,0.8,0,l9fc1xx6cw,1,Medium
8,7,1,0,0,2.4056,0,0,2,0.75,0,WIILpKUI,1,Medium
4,0,0,4,0,2.0,0,0,1,1.0,0,3408,0,Weak
16,7,4,1,4,3.875,0,0,1,0.9375,0,!c^S&tV9O(sSgUEM,2,Strong
10,0,9,0,1,3.3219,0,0,1,1.0,0,e#rcvzlnkt,1,Medium
8,0,7,0,1,3.0,0,0,1,1.0,0,sfo@igbh,1,Medium
12,5,4,1,2,3.4183,0,0,1,0.9167,0,Tk^Iwu^EA0aF,2,Strong
6,0,0,6,0,1.2516,0,0,2,0.5,0,909919,0,Weak
18,7,5,2,4,4.0588,0,0,1,0.9444,0,sBqOWXf0!)iL()dC1M,2,Strong
17,5,4,2,6,3.9698,0,0,2,0.9412,0,!M**b(t&EVy$cZ2J4,2,Strong
6,0,6,0,0,0.0,0,0,6,0.1667,0,qqqqqq,0,Weak
6,0,0,6,0,2.585,0,0,1,1.0,0,826541,0,Weak
10,0,9,0,1,3.1219,0,0,1,0.9,0,gnhvigm$fr,1,Medium
15,5,7,2,1,3.4566,0,0,1,0.8,0,TdxhpAs9TuTJ7u@,2,Strong
7,0,7,0,0,2.8074,0,0,1,1.0,0,wbefihg,0,Weak
10,0,9,0,1,2.9219,0,0,2,0.8,0,ph@sumddhl,1,Medium
7,0,0,7,0,2.5216,0,0,1,0.8571,0,9241640,0,Weak
16,6,7,1,2,3.625,0,0,1,0.8125,0,@#ztqzLQqoPxNOP8,2,Strong
15,5,6,3,1,3.9069,0,0,1,1.0,0,kpS(452BdVvPjKc,2,Strong
5,0,0,5,0,1.9219,0,0,2,0.8,0,95570,0,Weak
5,0,5,0,0,0.0,0,0,5,0.2,0,wwwww,0,Weak
7,0,7,0,0,2.5216,0,0,1,0.8571,0,htupuoe,0,Weak
16,6,5,3,2,3.875,0,0,1,0.9375,0,^lWBPIvc52T5xY@h,2,Strong
10,0,6,4,0,2.9219,0,0,1,0.8,0,6x73zca7fx,1,Medium
15,6,5,1,3,3.6402,0,0,1,0.8667,0,*NJiUiyJ8vG!#nD,2,Strong
